District,District_Code,ELA_Scores,Math_Scores,Total_Per_Pupil_Expenditures,Black,Hispanic,White,Asian,Other,Year,County,Area_Type
Hampton School District,630011,33,33,30664,0,0.09,0.836,0,0,2022-23,Windham,Suburban
Hartford School District,640011,7039,6979,22167,0.289,0.564,0.07,0.046,0.027,2022-23,Hartford,Urban
Hartland School District,650011,82,82,29381,0,0,0.836,0,0.086,2022-23,Hartford,Suburban
Hebron School District,670011,347,347,18902,0,0.052,0.884,0.019,0.026,2022-23,Tolland,Suburban
Highville Charter School District,2860013,200,200,11735,0.853,0.117,0,0,0.018,2022-23,New Haven,Urban
Integrated Day Charter School District,2640013,225,224,14674,0.105,0.227,0.432,0.133,0,2022-23,New London,Urban
Interdistrict School for Arts and Comm District,2650013,261,256,16897,0.181,0.069,0.128,0,0.064,2022-23,New London,Urban
Jumoke Academy District,2610013,347,346,15035,0.925,0.059,0.01,0,0,2022-23,Hartford,Urban
Kent School District,680011,115,115,31197,0,0.098,0.825,0,0.052,2022-23,Litchfield,Suburban
Killingly School District,690011,990,981,19427,0.02,0.114,0.773,0.023,0.067,2022-23,Windham,Suburban
Learn,2450014,258,257,26057,0.091,0.362,0.397,0.026,0.119,2022-23,New Haven,Suburban
Lebanon School District,710011,395,394,22826,0.009,0.088,0.863,0.009,0.018,2022-23,New London,Suburban
Ledyard School District,720011,1055,1053,17413,0.042,0.123,0.706,0.037,0.055,2022-23,New London,Suburban
Lisbon School District,730011,249,248,18362,0,0.146,0.78,0,0.05,2022-23,New London,Suburban
Litchfield School District,740011,369,369,23554,0.009,0.079,0.873,0.017,0.015,2022-23,Litchfield,Suburban
Madison School District,760011,1031,1030,24601,0.008,0.069,0.847,0.034,0.04,2022-23,New Haven,Urban
Manchester School District,770011,2641,2619,19931,0.246,0.341,0.295,0.081,0.027,2022-23,Hartford,Urban
Mansfield School District,780011,626,624,24767,0.038,0.165,0.644,0.116,0,2022-23,Tolland,Suburban
Marlborough School District,790011,243,243,18319,0,0.092,0.851,0.018,0.022,2022-23,Hartford,Suburban
Meriden School District,800011,3974,3945,16794,0.116,0.603,0.218,0.019,0.042,2022-23,New Haven,Urban
Middletown School District,830011,2006,1998,23702,0.22,0.178,0.437,0.051,0.106,2022-23,Middlesex,Urban
Milford School District,840011,2309,2306,24217,0.048,0.155,0.663,0.09,0.041,2022-23,New Haven,Urban
Monroe School District,850011,1512,1507,19232,0.035,0.156,0.715,0.052,0.04,2022-23,Fairfield,Suburban
Montville School District,860011,942,943,20037,0.039,0.165,0.601,0.064,0.121,2022-23,New London,Suburban
Naugatuck School District,880011,1907,1903,16735,0.122,0.374,0.426,0.023,0.052,2022-23,New Haven,Suburban
New Beginnings Inc Family Academy District,2800013,166,166,17896,0.537,0.448,0,0,0,2022-23,Fairfield,Urban
New Britain School District,890011,4371,4328,18409,0.111,0.677,0.133,0.02,0.143,2022-23,Hartford,Urban
New Canaan School District,900011,1927,1925,24716,0.013,0.062,0.799,0.07,0.053,2022-23,Fairfield,Suburban
New Fairfield School District,910011,938,935,22062,0.023,0.176,0.758,0.011,0.028,2022-23,Fairfield,Suburban
New Hartford School District,920011,244,243,20891,0,0.077,0.892,0,0,2022-23,Litchfield,Urban
New Haven School District,930011,8023,7964,20451,0.344,0.485,0.105,0.032,0.031,2022-23,New Haven,Urban
New London School District,950011,1322,1315,22725,0.163,0.575,0.128,0.013,0.114,2022-23,New London,Urban
New Milford School District,960011,1545,1534,19376,0.034,0.232,0.675,0.035,0.021,2022-23,Litchfield,Suburban
Newington School District,940011,1718,1707,21046,0.057,0.257,0.534,0.096,0.054,2022-23,Hartford,Suburban
Newtown School District,970011,1756,1753,21714,0.023,0.118,0.817,0.023,0.016,2022-23,Fairfield,Suburban
Norfolk School District,980011,35,35,37637,0,0,0.864,0,0,2022-23,Litchfield,Suburban
North Branford School District,990011,704,704,22260,0,0.09,0.85,0.018,0.025,2022-23,New Haven,Suburban
North Canaan School District,1000011,145,145,24648,0,0.151,0.79,0,0.029,2022-23,Litchfield,Urban
North Haven School District,1010011,1448,1443,19676,0.051,0.128,0.709,0.081,0.028,2022-23,New Haven,Urban
North Stonington School District,1020011,330,330,19441,0.021,0.05,0.889,0.012,0.018,2022-23,New London,Suburban
Norwalk School District,1030011,4872,4856,22279,0.139,0.553,0.233,0.039,0.034,2022-23,Fairfield,Suburban
Norwich School District,1040011,2077,2064,23831,0.183,0.371,0.278,0.063,0.096,2022-23,New London,Urban
Odyssey Community School District,2630013,216,216,14497,0.227,0.19,0.27,0.23,0,2022-23,Hartford,Suburban
Old Saybrook School District,1060011,456,455,26378,0,0.14,0.784,0.036,0.034,2022-23,Middlesex,Suburban
Orange School District,1070011,711,709,18838,0.023,0.073,0.721,0.131,0.052,2022-23,New Haven,Urban
Oxford School District,1080011,744,741,20026,0.024,0.104,0.828,0.026,0.014,2022-23,New Haven,Urban
Park City Prep Charter School District,2830013,373,365,16151,0.501,0.413,0.055,0,0,2022-23,Bridgeport ,Suburban
Plainfield School District,1090011,851,849,19064,0.032,0.103,0.815,0.015,0.022,2022-23,Windham,Suburban
Plainville School District,1100011,1030,1028,20255,0.055,0.236,0.629,0.029,0.048,2022-23,Hartford,Urban
Plymouth School District,1110011,578,576,20079,0,0.145,0.766,0.021,0.051,2022-23,Litchfield,Suburban
Pomfret School District,1120011,245,245,20554,0,0.03,0.935,0,0,2022-23,Windham,Suburban
Portland School District,1130011,620,618,20901,0.039,0.181,0.719,0.014,0.048,2022-23,Middlesex,Suburban
Preston School District,1140011,264,265,22303,0,0.075,0.825,0.023,0.048,2022-23,New London,Suburban
Putnam School District,1160011,506,505,19433,0.017,0.152,0.814,0.008,0.007,2022-23,Windham,Suburban
Redding School District,1170011,528,527,29232,0.016,0.126,0.796,0.024,0.035,2022-23,Windham,Suburban
Regional School District 01,2010012,0,0,36960,0,0.11,0.804,0.018,0.055,2022-23,Litchfield,Suburban
Regional School District 04,2040012,227,229,27347,0,0.084,0.851,0.015,0.04,2022-23,Middlesex,Suburban
Regional School District 05,2050012,705,700,22558,0,0.086,0.686,0.15,0.038,2022-23,New Haven,Suburban
Regional School District 06,2060012,303,301,23898,0.013,0.054,0.896,0,0.033,2022-23,Litchfield,Suburban
Regional School District 07,2070012,255,256,25464,0.008,0.042,0.92,0,0.022,2022-23,Litchfield,Suburban
Regional School District 08,2080012,366,366,22687,0.01,0.08,0.87,0.012,0.027,2022-23,Tolland,Urban
Regional School District 10,2100012,962,961,19343,0.004,0.073,0.675,0.007,0.241,2022-23,Hartford,Urban
Regional School District 11,2110012,98,97,27425,0,0.076,0.876,0,0,2022-23,Litchfield,Suburban
Regional School District 12,2120012,282,281,29022,0.007,0.098,0.846,0.009,0.037,2022-23,Litchfield,Suburban
Regional School District 13,2130012,623,618,27232,0,0.082,0.87,0.012,0.029,2022-23,Middlesex,Suburban
Regional School District 14,2140012,595,593,22796,0.014,0.106,0.835,0.012,0.028,2022-23,Litchfield,Suburban
Regional School District 15,2150012,1596,1592,23154,0.024,0.082,0.813,0.048,0.032,2022-23,New Haven,Suburban
Regional School District 16,2160012,874,873,20158,0.039,0.092,0.827,0,0.027,2022-23,New Haven,Suburban
Regional School District 17,2170012,798,796,24145,0,0.047,0.897,0.017,0.029,2022-23,Middlesex,Suburban
Regional School District 18,2180012,527,527,24303,0.005,0.065,0.862,0.027,0.04,2022-23,Middlesex,Suburban
Ridgefield School District,1180011,2018,2003,21115,0.007,0.09,0.79,0.065,0.046,2022-23,Fairfield,Suburban
Rocky Hill School District,1190011,1164,1162,19869,0.038,0.118,0.515,0.29,0.038,2022-23,Hartford,Urban
Salem School District,1210011,263,263,20212,0,0.085,0.823,0,0.062,2022-23,New London,Suburban
Salisbury School District,1220011,185,185,28116,0.037,0.105,0.787,0,0.054,2022-23,Litchfield,Suburban
Scotland School District,1230011,43,43,26551,0,0,0.887,0,0,2022-23,Windham,Suburban
Seymour School District,1240011,946,945,18691,0.07,0.221,0.652,0.036,0,2022-23,New Haven,Suburban
Sharon School District,1250011,63,63,51470,0,0.062,0.876,0,0,2022-23,Litchfield,Suburban
Shelton School District,1260011,2123,2117,17911,0.082,0.23,0.593,0.051,0.043,2022-23,Fairfield,Suburban
Sherman School District,1270011,156,154,25082,0,0.083,0.826,0,0.06,2022-23,Fairfield,Suburban
Side By Side Charter School District,2700013,130,130,14735,0.254,0.576,0.102,0.025,0.042,2022-23,Fairfield,Suburban
Simsbury School District,1280011,1850,1848,20177,0.057,0.112,0.712,0.065,0,2022-23,Hartford,Urban
Somers School District,1290011,608,608,20674,0.024,0.055,0.888,0,0.02,2022-23,Tolland,Suburban
South Windsor School District,1320011,2343,2327,17234,0.06,0.105,0.578,0.308,0.048,2022-23,Hartford,Urban
Southington School District,1310011,2768,2762,17952,0.025,0.12,0.76,0.044,0.049,2022-23,Hartford,Urban
Sprague School District,1330011,173,172,19268,0.025,0.178,0.63,0,0.145,2022-23,New London,Suburban
Stafford School District,1340011,608,604,22633,0.008,0.087,0.859,0,0.036,2022-23,Tolland,Suburban
Stamford Charter School for Excellence District,2960013,297,297,10994,0.43,0.255,0.037,0.239,0.03,2022-23,Fairfield,Urban
Stamford School District,1350011,7117,7094,22321,0.134,0.502,0.264,0.063,0.034,2022-23,Fairfield,Suburban
Sterling School District,1360011,195,195,19662,0.025,0.093,0.796,0,0.08,2022-23,Windham,Suburban
Stonington School District,1370011,756,755,22693,0.008,0.075,0.833,0.018,0.062,2022-23,New London,Suburban
Stratford School District,1380011,2982,2947,20037,0.26,0.403,0.276,0.023,0.035,2022-23,Fairfield,Suburban
Suffield School District,1390011,867,865,19675,0.038,0.09,0.812,0.045,0.012,2022-23,Hartford,Suburban
The Bridge Academy District,2690013,96,96,16552,0.514,0.461,0,0,0,2022-23,Bridgeport ,Suburban
The Gilbert School District,9020022,136,135, ,0.024,0.202,0.68,0.049,0.044,2022-23,Litchfield,Suburban
Thomaston School District,1400011,383,381,19926,0.013,0.109,0.818,0.021,0.039,2022-23,Litchfield,Suburban
Thompson School District,1410011,421,416,22498,0.008,0.088,0.866,0.01,0.028,2022-23,Windham,Suburban
Tolland School District,1420011,947,945,18686,0.029,0.097,0.806,0.034,0.033,2022-23,Tolland,Suburban
Torrington School District,1430011,1836,1827,21108,0.062,0.384,0.482,0.04,0.027,2022-23,Litchfield,Urban
Trumbull School District,1440011,3074,3071,18553,0.067,0.19,0.614,0.1,0.027,2022-23,Fairfield,Suburban
Union School District,1450011,37,37,24906,0,0,0,0,0,2022-23,Tolland,Suburban
Vernon School District,1460011,1335,1334,19042,0.104,0.221,0.513,0.077,0.084,2022-23,Tolland,Suburban
Voluntown School District,1470011,141,141,21624,0,0.048,0.904,0,0,2022-23,New London,Suburban
Wallingford School District,1480011,2265,2252,22692,0.019,0.206,0.687,0.049,0.037,2022-23,New Haven,Urban
Waterbury School District,1510011,8091,8055,18405,0.212,0.616,0.111,0.015,0.041,2022-23,New Haven,Urban
Waterford School District,1520011,1031,1027,22800,0.024,0.145,0.721,0.049,0.055,2022-23,New London,Suburban
Watertown School District,1530011,1181,1180,20249,0.036,0.108,0.798,0.015,0.039,2022-23,Litchfield,Suburban
West Hartford School District,1550011,3997,3982,20704,0.082,0.204,0.547,0.103,0.06,2022-23,Hartford,Urban
West Haven School District,1560011,2566,2551,17401,0.24,0.397,0.265,0.048,0.047,2022-23,New Haven,Suburban
Westbrook School District,1540011,236,236,31330,0,0.271,0.687,0.019,0,2022-23,Middlesex,Suburban
Weston School District,1570011,981,981,26281,0,0.087,0.763,0.062,0.073,2022-23,Fairfield,Suburban
Westport School District,1580011,2379,2375,25576,0,0.079,0.763,0.066,0.07,2022-23,Fairfield,Suburban
Wethersfield School District,1590011,1620,1616,18723,0.047,0.208,0.646,0.053,0.043,2022-23,Hartford,Suburban
Willington School District,1600011,259,259,24707,0.025,0.098,0.829,0,0.03,2022-23,Tolland,Suburban
Wilton School District,1610011,1634,1629,24229,0.009,0.066,0.749,0.112,0.063,2022-23,Fairfield,Suburban
Winchester School District,1620011,320,320,22293,0.026,0.144,0.779,0.015,0.033,2022-23,Litchfield,Urban
Windham School District,1630011,1518,1509,22599,0.032,0.727,0.21,0.007,0.02,2022-23,Windham,Suburban
Windsor Locks School District,1650011,666,665,23010,0.128,0.179,0.565,0.059,0.063,2022-23,Hartford,Urban
Windsor School District,1640011,1373,1357,21646,0.399,0.246,0.225,0.037,0.09,2022-23,Hartford,Urban
Wolcott School District,1660011,952,950,18138,0.038,0.153,0.749,0.025,0.032,2022-23,New Haven,Suburban
Woodbridge School District,1670011,469,471,19918,0,0.071,0.659,0.151,0.092,2022-23,New Haven,Suburban
Woodstock School District,1690011,509,509,18413,0.008,0.05,0.882,0,0.048,2022-23,Windham,Suburban
Goodwin University Educational Services (GUES),2310018,377,377,17580,0,0.132,0.793,0.012,0,2022-23,Hartford,Suburban
Achievement First Bridgeport Academy District,2850013,558,547,14616,0.526,0.433,0.019,0,0.014,2023-24,Fairfield,Suburban
Achievement First Hartford Academy District,2880013,457,450,17688,0.753,0.216,0,0,0.021,2023-24,Hartford,Urban
Amistad Academy District,2790013,537,521,14491,0.604,0.357,0.011,0,0.017,2023-24,New Haven,Urban
Andover School District,10011,92,92,22038,0,0.122,0.849,0,0,2023-24,Tolland,Suburban
Ansonia School District,20011,1123,1119,19869,0.212,0.477,0.232,0.02,0.055,2023-24,New Haven,Urban
Area Cooperative Educational Services,2440014,1040,1025,52153,0.333,0.33,0.252,0.026,0.055,2023-24,New Haven,Suburban
Ashford School District,30011,226,226,26212,0.017,0.085,0.851,0.017,0.031,2023-24,Windham,Suburban
Avon School District,40011,1427,1425,21328,0.064,0.08,0.623,0.185,0.045,2023-24,Hartford,Urban
Barkhamsted School District,50011,114,114,21438,0,0.055,0.885,0,0.05,2023-24,Litchfield,Suburban
Berlin School District,70011,1148,1147,22299,0.027,0.136,0.769,0.041,0.026,2023-24,Hartford,Urban
Bethany School District,80011,251,251,19107,0.022,0.076,0.798,0.079,0,2023-24,New Haven,Suburban
Bethel School District,90011,1432,1431,18624,0.044,0.269,0.555,0.073,0.059,2023-24,Fairfield,Suburban
Bloomfield School District,110011,708,705,24674,0.66,0.173,0.093,0.021,0.048,2023-24,Hartford,Suburban
Bolton School District,120011,308,308,22301,0.064,0.104,0.761,0.021,0.049,2023-24,Tolland,Suburban
Booker T. Washington Academy District,2950013,248,248,19545,0.792,0.164,0,0,0.034,2023-24,New Haven,Urban
Bozrah School District,130011,98,98,28086,0,0.141,0.771,0,0.071,2023-24,New London,Suburban
Branford School District,140011,1127,1115,25027,0.042,0.17,0.671,0.067,0.056,2023-24,New Haven,Suburban
Brass City Charter School District,2900013,210,210,16251,0.339,0.529,0.041,0.028,0.063,2023-24,New Haven,Urban
Bridgeport School District,150011,8585,8561,18922,0.278,0.593,0.084,0.08,0.027,2023-24,Fairfield,Suburban
Bristol School District,170011,3310,3319,20882,0.083,0.379,0.443,0.035,0.059,2023-24,Hartford,Urban
Brookfield School District,180011,1093,1090,20908,0.04,0.177,0.691,0.079,0.011,2023-24,Fairfield,Suburban
Brooklyn School District,190011,557,556,19247,0,12.2,78.3,2.4,4.7,2023-24,Windham,Suburban
Canaan School District,210011,51,51,34312,0,0,0.925,0,0,2023-24,Litchfield,Suburban
Canterbury School District,220011,285,283,20623,0,0.109,0.86,0,0.025,2023-24,Windham,Suburban
Canton School District,230011,653,652,23009,0.062,0.072,0.815,0,0.03,2023-24,Hartford,Urban
Capital Preparatory Harbor School District,2970013,360,360,13123,0.656,0.333,0,0,0,2023-24,Bridgeport ,Suburban
Capitol Region Education Council,2410014,3492,3470,30781,0.311,0.427,0.148,0.051,0.06,2023-24,Hartford,Urban
Chaplin School District,240011,79,77,26867,0,0.123,0.786,0,0.052,2023-24,Windham,Suburban
Cheshire School District,250011,1890,1889,20515,0.036,0.1,0.736,0.089,0.038,2023-24,New Haven,Urban
Chester School District,260011,122,122,27164,0,0.082,0.879,0,0,2023-24,Middlesex,Suburban
Clinton School District,270011,627,624,24911,0,0.244,0.696,0.029,0.019,2023-24,Middlesex,Suburban
Colchester School District,280011,936,935,21216,0.021,0.097,0.81,0.021,0.049,2023-24,New London,Suburban
Colebrook School District,290011,46,46,34174,0,0,0.909,0,0,2023-24,Litchfield,Suburban
Columbia School District,300011,299,297,21600,0,0.092,0.849,0,0.044,2023-24,Tolland,Suburban
Cooperative Educational Services,2430014,281,280,23566,0.234,0.401,0.275,0.045,0.042,2023-24,Fairfield,Suburban
Cornwall School District,310011,60,60,34007,0,0.062,0.845,0,0,2023-24,Litchfield,Suburban
Coventry School District,320011,707,704,18654,0.007,0.078,0.855,0.011,0.047,2023-24,Tolland,Suburban
Cromwell School District,330011,903,900,20663,0.069,0.143,0.67,0.054,0.061,2023-24,Middlesex,Suburban
Danbury School District,340011,5415,5409,17100,0.064,0.641,0.209,0.045,0.038,2023-24,Fairfield,Suburban
Darien School District,350011,2103,2098,25891,0.007,0.071,0.808,0.063,0.05,2023-24,Fairfield,Suburban
Deep River School District,360011,103,103,29208,0,0.092,0.862,0,0,2023-24,Middlesex,Suburban
Derby School District,370011,577,576,23073,0.209,0.433,0.273,0,0.062,2023-24,New Haven,Suburban
East Granby School District,400011,387,385,24227,0.067,0.065,0.743,0.081,0.044,2023-24,Hartford,Suburban
East Haddam School District,410011,435,434,24690,0,0.067,0.884,0.012,0.029,2023-24,Middlesex,Suburban
East Hampton School District,420011,796,792,22129,0.011,0.076,0.863,0.011,0.037,2023-24,Middlesex,Suburban
East Hartford School District,430011,2566,2554,17348,0.296,0.531,0.096,0.039,0.037,2023-24,Hartford,Urban
East Haven School District,440011,1179,1171,18985,0.056,0.416,0.45,0.033,0.041,2023-24,New Haven,Urban
East Lyme School District,450011,992,987,23370,0.019,0.098,0.722,0.095,0.062,2023-24,New London,
East Windsor School District,470011,452,445,25949,0.137,0.259,0.457,0.076,0.068,2023-24,Hartford,Suburban
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,,,48835,0.027,0.179,0.715,0,0.079,2023-24,Tolland,Suburban
Eastford School District,390011,95,95,22285,0,0.075,0.851,0,0,2023-24,Windham,Suburban
Easton School District,460011,577,576,22599,0,0.094,0.749,0.074,0.051,2023-24,Fairfield,Suburban
EdAdvance,2420014,24,24,59528,0.069,0.375,0.462,0,0.059,2023-24,Litchfield,Suburban
Ellington School District,480011,1131,1128,19106,0.044,0.087,0.721,0.113,0,2023-24,Tolland,Suburban
Elm City College Preparatory School District,2890013,373,372,16606,0.626,0.328,0.018,0,0.025,2023-24,New Haven,Urban
Elm City Montessori School District,2910013,124,124,17804,0.256,0.275,0.344,0.033,0.092,2023-24,New Haven,Urban
Enfield School District,490011,2002,1987,18781,0.067,0.22,0.623,0.024,0.064,2023-24,Hartford,Urban
Essex School District,500011,148,148,27679,0,0.083,0.87,0,0.037,2023-24,Middlesex,Urban
Fairfield School District,510011,4101,4099,24113,0.033,0.14,0.708,0.063,0.055,2023-24,Fairfield,Suburban
Farmington School District,520011,1878,1875,19986,0.046,0.117,0.529,0.245,0.061,2023-24,Hartford,Urban
Franklin School District,530011,104,104,19849,0,0.109,0.771,0,0,2023-24,New London,Suburban
Glastonbury School District,540011,2554,2553,21545,0.033,0.126,0.634,0.142,"6,9%",2023-24,Hartford,Urban
Granby School District,560011,765,765,20961,0.068,0.068,0.805,0.027,0.028,2023-24,Hartford,Suburban
Great Oaks Charter School District,2940013,249,249,17851,0.437,0.496,0.047,0,0.014,2023-24,Bridgeport ,Suburban
Greenwich School District,570011,3714,3707,27791,0.02,0.235,0.594,0.086,0.063,2023-24,Fairfield,Suburban
Griswold School District,580011,717,715,19279,0.024,0.138,0.747,0.017,0.065,2023-24,New London,Suburban
Groton School District,590011,1777,1773,20055,0.07,0.259,0.464,0.061,0.146,2023-24,New London,Urban
Guilford School District,600011,1351,1350,22568,0.011,0.095,0.786,0.047,0.059,2023-24,New Haven,Suburban
Hamden School District,620011,2344,2330,23244,0.322,0.282,0.258,0.069,0.067,2023-24,New Haven,Urban
Hampton School District,630011,33,33,28863,0,0,0.851,0,0,2023-24,Windham,Suburban
Hartford School District,640011,7098,7055,23095,0.286,0.565,0.066,0.049,0.033,2023-24,Hartford,Urban
Hartland School District,650011,80,80,31190,0,0,0.872,0,0.064,2023-24,Hartford,Suburban
Hebron School District,670011,360,360,19816,0,0,0.873,0.017,0.03,2023-24,Tolland,Suburban
Highville Charter School District,2860013,206,206,13203,0.839,0.137,0,0,0.016,2023-24,New Haven,Urban
Integrated Day Charter School District,2640013,226,226,14835,0.11,0.227,0.434,0.138,0,2023-24,New London,Urban
Interdistrict School for Arts and Comm District,2650013,258,258,17438,0.158,0.616,0.129,0,0.079,2023-24,New London,Urban
Jumoke Academy District,2610013,325,321,17124,0.932,0.042,0,0,0.01,2023-24,Hartford,Urban
Kent School District,680011,114,114,31348,0,0.105,0.822,0,0.047,2023-24,Litchfield,Suburban
Killingly School District,690011,1012,1012,20989,0.023,0.127,0.755,0.023,0.068,2023-24,Windham,Suburban
Learn,2450014,251,251,24012,0.08,0.379,0.38,0,0.13,2023-24,New Haven,Suburban
Lebanon School District,710011,378,376,23517,0.008,0.086,0.864,0.008,2.2,2023-24,New London,Suburban
Ledyard School District,720011,1066,1064,18092,3.6,13.7,69.2,3.3,10.1,2023-24,New London,Suburban
Lisbon School District,730011,264,263,19301,1.4,13.3,76.5,0,7.2,2023-24,New London,Suburban
Litchfield School District,740011,380,374,25321,0,7.7,88.7,1.5,1.3,2023-24,Litchfield,Suburban
Madison School District,760011,1044,1045,25829,0.7,6.7,84.9,3.5,3.9,2023-24,New Haven,Urban
Manchester School District,770011,2591,2571,20321,24.6,35.6,27.1,8.4,4.3,2023-24,Hartford,Urban
Mansfield School District,780011,624,622,25984,0,17.7,62.4,12.4,3.8,2023-24,Tolland,Suburban
Marlborough School District,790011,232,232,19607,0,9,84,2.9,2.7,2023-24,Hartford,Suburban
Meriden School District,800011,3987,3951,16646,11.5,61.8,19.8,1.7,5,2023-24,New Haven,Urban
Middletown School District,830011,1965,1953,24962,21.7,21,40.8,5.3,11.2,2023-24,Middlesex,Urban
Milford School District,840011,2238,2230,25639,5,16.3,65.1,8.4,5.1,2023-24,New Haven,Urban
Monroe School District,850011,1506,1502,19719,3.6,16.3,70.2,5.6,4,2023-24,Fairfield,Suburban
Montville School District,860011,933,928,21162,4.6,16.8,60.2,6.1,11.4,2023-24,New London,Suburban
Naugatuck School District,880011,1841,1840,17922,12.6,38.9,41.2,2,4.9,2023-24,New Haven,Suburban
New Beginnings Inc Family Academy District,2800013,119,119,18485,54.6,43.1,0,0,0,2023-24,Fairfield,Urban
New Britain School District,890011,4368,4303,19901,10.5,68.7,13.5,2.1,5.2,2023-24,Hartford,Urban
New Canaan School District,900011,1893,1890,26175,1.3,6.9,78.9,7.1,5.4,2023-24,Fairfield,Suburban
New Fairfield School District,910011,934,933,22155,2.5,17.7,75.3,1.2,3,2023-24,Fairfield,Suburban
New Hartford School District,920011,244,244,21588,0,7,89.7,0,0,2023-24,Litchfield,Urban
New Haven School District,930011,7914,7848,21371,33.1,49.3,9.9,3.9,3.7,2023-24,New Haven,Urban
New London School District,950011,1295,1282,23663,17.1,58.6,11.6,1.1,11.7,2023-24,New London,Urban
New Milford School District,960011,1507,1500,20708,3.3,24.9,65.7,3.5,2.3,2023-24,Litchfield,Suburban
Newington School District,940011,1703,1695,21922,5.7,26.4,51.9,10.4,5.5,2023-24,Hartford,Suburban
Newtown School District,970011,1745,1742,22491,2.4,13.5,80.1,2.2,1.6,2023-24,Fairfield,Suburban
Norfolk School District,980011,27,27,49304,0,0,87.5,0,0,2023-24,Litchfield,Suburban
North Branford School District,990011,673,673,23080,0,10.6,83.3,1.8,2.9,2023-24,New Haven,Suburban
North Canaan School District,1000011,141,140,25170,4.1,16,76.6,0,0,2023-24,Litchfield,Urban
North Haven School District,1010011,1431,1422,19720,5.4,13.7,68.2,8.5,3.9,2023-24,New Haven,Urban
North Stonington School District,1020011,311,310,20659,1.9,4.6,90,1.1,1.6,2023-24,New London,Suburban
Norwalk School District,1030011,4741,4719,22245,13.4,56.6,22.5,3.7,3.9,2023-24,Fairfield,Suburban
Norwich School District,1040011,2074,2059,23566,18.5,39.1,26.2,6.2,10.1,2023-24,New London,Urban
Odyssey Community School District,2630013,215,215,15234,23.2,19.2,26.5,24.1,0,2023-24,Hartford,Suburban
Old Saybrook School District,1060011,420,418,27652,0,15.4,77.2,3.4,3.2,2023-24,Middlesex,Suburban
Orange School District,1070011,705,702,19558,0,8.2,72.5,12.5,4.7,2023-24,New Haven,Urban
Oxford School District,1080011,728,727,21221,2.4,11.2,81.1,3.1,1.7,2023-24,New Haven,Urban
Park City Prep Charter School District,2830013,389,383,16727,47.1,44.2,5.7,0,0,2023-24,Bridgeport ,Suburban
Plainfield School District,1090011,857,854,20655,3.2,10.3,81.3,1.4,3.8,2023-24,Windham,Suburban
Plainville School District,1100011,987,985,21283,5.8,24.5,62.4,2.6,4.4,2023-24,Hartford,Urban
Plymouth School District,1110011,561,562,20751,2.2,16,74.7,0,5.4,2023-24,Litchfield,Suburban
Pomfret School District,1120011,216,216,22226,0,2.9,93.1,0,1.7,2023-24,Windham,Suburban
Portland School District,1130011,594,593,21741,4.2,17.5,72,1.4,5,2023-24,Middlesex,Suburban
Preston School District,1140011,260,260,23641,1.8,9.6,80.7,2.2,4.2,2023-24,New London,Suburban
Putnam School District,1160011,502,498,19790,1.4,17.3,73.8,1.3,6,2023-24,Windham,Suburban
Redding School District,1170011,549,546,29247,1.3,13.1,79.4,2.4,3.5,2023-24,Windham,Suburban
Regional School District 01,2010012,,,37138,0,11.1,80.6,0,5.1,2023-24,Litchfield,Suburban
Regional School District 04,2040012,210,211,29496,1.1,10.2,83.4,0,4,2023-24,Middlesex,Suburban
Regional School District 05,2050012,711,710,22897,0,9.5,67.9,14.5,4.2,2023-24,New Haven,Suburban
Regional School District 06,2060012,277,276,24287,1.7,5.2,89.3,0,3.7,2023-24,Litchfield,Suburban
Regional School District 07,2070012,235,233,27204,0,4.2,92.5,0.8,1.8,2023-24,Litchfield,Suburban
Regional School District 08,2080012,359,358,25449,1.5,9.2,84.8,0.9,3.4,2023-24,Tolland,Urban
Regional School District 10,2100012,975,974,20164,0.5,7.5,69.2,0.8,22,2023-24,Hartford,Urban
Regional School District 11,2110012,85,84,29861,2.8,8,86.3,0,0,2023-24,Litchfield,Suburban
Regional School District 12,2120012,273,272,31218,0,10.5,84.4,0,4,2023-24,Litchfield,Suburban
Regional School District 13,2130012,618,618,28300,0,7.6,87.2,1.3,3.2,2023-24,Middlesex,Suburban
Regional School District 14,2140012,601,601,24147,1.5,10.9,82.8,1.2,3.4,2023-24,Litchfield,Suburban
Regional School District 15,2150012,1588,1586,24519,2.3,9.5,79.7,4.8,3.5,2023-24,New Haven,Suburban
Regional School District 16,2160012,864,863,20848,3.9,10.9,81.1,0,2.6,2023-24,New Haven,Suburban
Regional School District 17,2170012,796,795,25947,0,4.8,89.2,1.9,2.9,2023-24,Middlesex,Suburban
Regional School District 18,2180012,521,520,24634,0.5,6.9,85.5,2.9,4.3,2023-24,Middlesex,Suburban
Ridgefield School District,1180011,2015,1998,22736,0.8,9.3,78.9,6.3,4.5,2023-24,Fairfield,Suburban
Rocky Hill School District,1190011,1178,1178,20343,3.9,11.3,50,30.4,4.3,2023-24,Hartford,Urban
Salem School District,1210011,254,253,20816,0,9.3,81.3,0,7,2023-24,New London,Suburban
Salisbury School District,1220011,187,187,27587,2.3,10.2,78.9,0,6.9,2023-24,Litchfield,Suburban
Scotland School District,1230011,49,49,24010,0,9.7,90.3,0,0,2023-24,Windham,Suburban
