District,District_Code,ELA_Scores,Math_Scores,Total_Per_Pupil_Expenditures,Black,Hispanic,White,Asian,Other,Year,County,Area_Type
Lebanon School District,710011,395,394,22826,0.009,0.088,0.863,0.009,0.018,2021-22,New London,Suburban
Ledyard School District,720011,1055,1053,17413,0.042,0.123,0.706,0.037,0.055,2021-22,New London,Suburban
Lisbon School District,730011,249,248,18362,0,0.146,0.78,0,0.05,2021-22,New London,Suburban
Litchfield School District,740011,369,369,23554,0.009,0.079,0.873,0.017,0.015,2021-22,Litchfield,Suburban
Madison School District,760011,1031,1030,24601,0.008,0.069,0.847,0.034,0.04,2021-22,New Haven,Urban
Manchester School District,770011,2641,2619,19931,0.246,0.341,0.295,0.081,0.027,2021-22,Hartford,Urban
Mansfield School District,780011,626,624,24767,0.038,0.165,0.644,0.116,0,2021-22,Tolland,Suburban
Marlborough School District,790011,243,243,18319,0,0.092,0.851,0.018,0.022,2021-22,Hartford,Suburban
Meriden School District,800011,3974,3945,16794,0.116,0.603,0.218,0.019,0.042,2021-22,New Haven,Urban
Middletown School District,830011,2006,1998,23702,0.22,0.178,0.437,0.051,0.106,2021-22,Middlesex,Urban
Milford School District,840011,2309,2306,24217,0.048,0.155,0.663,0.09,0.041,2021-22,New Haven,Urban
Monroe School District,850011,1512,1507,19232,0.035,0.156,0.715,0.052,0.04,2021-22,Fairfield,Suburban
Montville School District,860011,942,943,20037,0.039,0.165,0.601,0.064,0.121,2021-22,New London,Suburban
Naugatuck School District,880011,1907,1903,16735,0.122,0.374,0.426,0.023,0.052,2021-22,New Haven,Suburban
New Beginnings Inc Family Academy District,2800013,166,166,17896,0.537,0.448,0,0,0,2021-22,Fairfield,Urban
New Britain School District,890011,4371,4328,18409,0.111,0.677,0.133,0.02,0.143,2021-22,Hartford,Urban
New Canaan School District,900011,1927,1925,24716,0.013,0.062,0.799,0.07,0.053,2021-22,Fairfield,Suburban
New Fairfield School District,910011,938,935,22062,0.023,0.176,0.758,0.011,0.028,2021-22,Fairfield,Suburban
New Hartford School District,920011,244,243,20891,0,0.077,0.892,0,0,2021-22,Litchfield,Urban
New Haven School District,930011,8023,7964,20451,0.344,0.485,0.105,0.032,0.031,2021-22,New Haven,Urban
New London School District,950011,1322,1315,22725,0.163,0.575,0.128,0.013,0.114,2021-22,New London,Urban
New Milford School District,960011,1545,1534,19376,0.034,0.232,0.675,0.035,0.021,2021-22,Litchfield,Suburban
Newington School District,940011,1718,1707,21046,0.057,0.257,0.534,0.096,0.054,2021-22,Hartford,Suburban
Newtown School District,970011,1756,1753,21714,0.023,0.118,0.817,0.023,0.016,2021-22,Fairfield,Suburban
Norfolk School District,980011,35,35,37637,0,0,0.864,0,0,2021-22,Litchfield,Suburban
North Branford School District,990011,704,704,22260,0,0.09,0.85,0.018,0.025,2021-22,New Haven,Suburban
North Canaan School District,1000011,145,145,24648,0,0.151,0.79,0,0.029,2021-22,Litchfield,Urban
North Haven School District,1010011,1448,1443,19676,0.051,0.128,0.709,0.081,0.028,2021-22,New Haven,Urban
North Stonington School District,1020011,330,330,19441,0.021,0.05,0.889,0.012,0.018,2021-22,New London,Suburban
Norwalk School District,1030011,4872,4856,22279,0.139,0.553,0.233,0.039,0.034,2021-22,Fairfield,Suburban
Norwich School District,1040011,2077,2064,23831,0.183,0.371,0.278,0.063,0.096,2021-22,New London,Urban
